City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Makakilo City,US,2021-12-28 01:54:21,21.3469,-158.0858,78.57,55,1,12.66
238,Celestun,MX,2021-12-28 01:54:21,20.8667,-90.4,78.93,73,100,7.36
239,Shu,KZ,2021-12-28 01:54:21,43.5983,73.7614,27.95,86,85,2.68
240,Provideniya,RU,2021-12-28 01:54:22,64.3833,-173.3,5.36,78,90,33.55
241,Namibe,AO,2021-12-28 01:54:22,-15.1961,12.1522,66.06,80,77,4.68
242,Luderitz,NA,2021-12-28 01:54:22,-26.6481,15.1594,62.46,90,69,6.87
243,Aljezur,PT,2021-12-28 01:54:23,37.3191,-8.8033,61.66,98,81,6.98
244,La Ronge,CA,2021-12-28 01:54:23,55.1001,-105.2842,-12.75,77,90,4.61
245,Hirado,JP,2021-12-28 01:54:23,33.3597,129.5531,43.39,58,100,12.64
246,Ponta Do Sol,PT,2021-12-28 01:54:24,32.6667,-17.1,66.83,82,13,2.57
247,Port Hedland,AU,2021-12-28 01:54:24,-20.3167,118.5667,107.65,9,8,17.27
248,Chabahar,IR,2021-12-28 01:54:25,25.2919,60.643,69.49,69,2,9.19
249,Kuusamo,FI,2021-12-28 01:54:25,65.9667,29.1833,6.84,92,90,2.3
250,Ati,TD,2021-12-28 01:54:25,13.2154,18.3353,68.34,22,1,9.06
251,Yerbogachen,RU,2021-12-28 01:54:26,61.2767,108.0108,-15.68,93,96,4.36
252,Sisimiut,GL,2021-12-28 01:54:26,66.9395,-53.6735,13.77,75,66,4.79
253,Juneau,US,2021-12-28 01:54:26,58.3019,-134.4197,24.22,97,7,3.02
254,Victoria,HK,2021-12-28 01:50:01,22.2855,114.1577,60.24,79,100,5.01
255,Ancud,CL,2021-12-28 01:54:27,-41.8697,-73.8203,59.43,92,1,6.87
256,Callaguip,PH,2021-12-28 01:54:27,18.0714,120.4867,80.62,57,20,6.91
257,Kerema,PG,2021-12-28 01:54:27,-7.9631,145.7785,86.41,61,62,6.64
258,Soure,BR,2021-12-28 01:54:28,-0.7167,-48.5233,78.71,85,96,8.52
259,Rocha,UY,2021-12-28 01:54:28,-34.4833,-54.3333,57.65,90,0,2.68
260,Barcelos,PT,2021-12-28 01:53:41,41.5388,-8.6151,59.14,97,97,10.2
261,Vanimo,PG,2021-12-28 01:54:29,-2.6741,141.3028,80.35,87,100,2.71
262,Mongo,TD,2021-12-28 01:54:29,12.1844,18.693,69.75,23,37,6.89
263,Pangody,RU,2021-12-28 01:54:29,65.85,74.4859,7.56,94,100,14.38
264,Orocue,CO,2021-12-28 01:54:29,4.7912,-71.3354,81.61,50,97,5.32
265,Merrill,US,2021-12-28 01:54:30,45.1805,-89.6835,16.75,79,40,11.5
266,Huarmey,PE,2021-12-28 01:54:30,-10.0681,-78.1522,68.49,86,100,5.88
267,Green River,US,2021-12-28 01:54:30,41.5286,-109.4662,27.99,52,100,5.99
268,Isangel,VU,2021-12-28 01:54:31,-19.55,169.2667,89.71,66,75,4.61
269,Klyuchi,RU,2021-12-28 01:54:31,52.2667,79.1667,13.68,88,100,12.28
